,Race_Index,Horse_no,Pred_Position,r_finish_order,r_horse_no
12,19,13,12,12,13
0,20,1,1,11,1
1,20,2,8,6,2
2,20,3,2,10,3
3,20,4,10,4,4
4,20,5,3,3,5
5,20,6,7,9,7
6,20,7,4,1,8
7,20,8,5,7,9
8,20,9,6,5,10
9,20,10,9,2,11
10,20,11,11,8,12
0,21,1,11,6,1
1,21,2,8,11,2
2,21,3,1,8,3
3,21,4,6,9,4
4,21,5,9,1,5
5,21,6,5,3,6
6,21,7,7,10,7
7,21,8,2,2,8
8,21,9,3,5,9
9,21,10,10,7,10
10,21,11,4,4,11
0,22,1,11,2,1
1,22,2,1,4,2
2,22,3,13,14,3
3,22,4,5,1,4
4,22,5,14,10,5
5,22,6,2,6,6
6,22,7,3,8,7
7,22,8,6,7,8
8,22,9,8,12,9
9,22,10,10,11,10
10,22,11,9,13,11
11,22,12,4,3,12
12,22,13,12,9,13
13,22,14,7,5,14
0,23,1,4,1,1
1,23,2,5,11,2
2,23,3,7,4,3
3,23,4,3,8,4
4,23,5,9,3,5
5,23,6,11,5,6
6,23,7,8,6,7
7,23,8,10,9,8
8,23,9,6,2,9
9,23,10,1,10,10
10,23,11,12,12,11
11,23,12,2,7,12
0,24,1,12,11,1
1,24,2,9,5,2
2,24,3,8,1,3
3,24,4,6,9,4
4,24,5,1,10,5
5,24,6,2,4,6
6,24,7,7,3,7
7,24,8,3,6,8
8,24,9,10,8,9
9,24,10,4,12,10
10,24,11,5,2,11
11,24,12,11,7,12
0,25,1,1,3,1
1,25,2,2,6,2
2,25,3,10,4,3
3,25,4,8,13,4
4,25,5,9,7,5
5,25,6,3,5,6
6,25,7,5,1,7
7,25,8,4,2,8
8,25,9,12,12,9
9,25,10,11,9,10
10,25,11,7,8,11
11,25,12,14,14,12
12,25,13,6,11,13
13,25,14,13,10,14
0,26,1,1,9,1
1,26,2,2,2,2
2,26,3,3,3,3
3,26,4,13,13,4
4,26,5,12,14,5
5,26,6,7,10,6
6,26,7,10,12,7
7,26,8,6,5,8
8,26,9,4,1,9
9,26,10,5,6,10
10,26,11,9,11,11
11,26,12,11,4,12
12,26,13,8,7,13
13,26,14,14,8,14
0,27,1,7,9,1
1,27,2,11,1,2
2,27,3,5,8,3
3,27,4,1,2,4
4,27,5,2,6,5
5,27,6,8,10,6
6,27,7,6,5,7
7,27,8,9,11,8
8,27,9,3,7,9
9,27,10,4,3,10
10,27,11,10,4,11
0,28,1,10,9,1
1,28,2,5,5,2
2,28,3,8,4,3
3,28,4,1,3,4
4,28,5,2,1,5
5,28,6,3,12,6
6,28,7,12,2,7
7,28,8,13,13,8
8,28,9,7,8,9
9,28,10,4,6,10
10,28,11,9,10,11
11,28,12,11,11,12
12,28,13,6,7,13
13,28,14,14,14,14
0,29,1,1,5,1
1,29,2,2,4,2
2,29,3,3,2,3
